title;genre;comment;status;ratings
Астрал Six Seveeeen;Битва экстрастрасенсов;Разетка(тупой мЭм с шесть и семь);Запланировано;
Дьявол носит Прада 2;Драма;Потом посмотреть как выйдет;Запланировано;
Зловещие мертвецы: Пекло;Жахiття;Рузетка хочет посмотреть как Котя будет писить в штанишки от каждого скримера;Запланировано;
Убойный футбол 2;Боевик(экшен), Комедия;СОНЯ УМОЛЯЕТ;Запланировано;
Хоккум;Хоррор;ждем выход;Запланировано;
Бегущий в лабиринте;бегущий;;НЕ ОХОТА;
Дьявол носит Прада 1;Драма;Котя не смотрел;НЕ ОХОТА;
2 ствола;Боевик;Йоу йоу йоу Розеткич;Не просмотрено;
28 месяцев спустя;ужасы;;Не просмотрено;
Астерикс и Обеликс 5: Поднебесная;Комедия;Нуууууу если только выпадет в колесеееее.....;Не просмотрено;
Банды Нью-Йорка;Драма, Комедия, Детектив, Мелодрама;1;Не просмотрено;
Бойцовский клуб;ача ача ча;ача ача ча;Не просмотрено;
Большая мышь;Драма, Ужасы (Хоррор), Детектив, Мелодрама;1;Не просмотрено;
Бриллиантовый полицейский;Комедия;1;Не просмотрено;
Везунчики;Комедия;1;Не просмотрено;
Великая красота;Драма, Комедия, Детектив, Мелодрама;1;Не просмотрено;
Властелин колец 1;Фантастика (научная, фэнтези), Приключения, Жахiття(потрiбно)(Хто вибере по приколу той підр)(????????????????????????????????????????????????);Котя (НЕ СМОТРЕЛ НЕ СПОЙЛЕРИТЬ);Не просмотрено;
Время ведьм;ээ ведьмы и рыцари;ээ ведьмы и рыцари и дазу;Не просмотрено;
Гадкий я 2;Комедия, Фантастика (научная, фэнтези), Приключения;пакарапапой, нононо папой;Не просмотрено;
Далласский клуб покупателей;Драма/Драма;Вова Колобашкин пиздатый, фильм;Не просмотрено;
Дом странных детей мисс Перегрин;Фантастика (научная, фэнтези), Приключения, Жахiття(потрiбно)(Хто вибере по приколу той підр)(????????????????????????????????????????????????);Игорь;Не просмотрено;
Друзья по отпуску;комедия;Розетка;Не просмотрено;
Дюна 2;фантастика, боевик, класс вау;червяк ползет ползёт 2;Не просмотрено;
Евротур 2004;Комедия;Пубертат не пощадил, Розетка;Не просмотрено;
Жертва обстоятельства;Драма, Комедия;1;Не просмотрено;
Заплати другому;Драма, Мелодрама;1;Не просмотрено;
Затерянный город;Комедия;дазу;Не просмотрено;
Исходный код;Детектив;1;Не просмотрено;
Казнить нельзя помиловать;детектив;хз мб прикольно мб нет посоветовали (котя);Не просмотрено;
Конец света;Фантастика райан гослинг;батончик;Не просмотрено;
Король 2019;ээ рыцари 2 и роберт патисон и тимати шаламе;ээ рыцари 2 и роберт патисон и тимати шаламе и дазу;Не просмотрено;
Лобстер;Драма, Комедия, Фантастика (научная, фэнтези), Мелодрама;1;Не просмотрено;
Лолита (повесть о Дазу);Драма, Мелодрама;Холхорс;Не просмотрено;
Матрица 2;Боевик(экшен), Фантастика (научная, фэнтези);ГАЗ ВТОРУЮ;Не просмотрено;
Миньоны 2;Комедия, Приключения;котйа;Не просмотрено;
Муви 43;Комедия;Сборник скетчей, там Хью Джекман снимался;Не просмотрено;
Невероятная жизнь Уолтера Митти;Приключения;1;Не просмотрено;
Одиссея;Драма, Боевик(экшен), Приключения;Надо посмотреть на трансформера и черную богиню;Не просмотрено;
Очень страшное кино (новая);комедия(ужасыыыы);ждем выход;Не просмотрено;
Патруль;Драма, криминал;Батончик;Не просмотрено;
Первородный страх;Ужасы (Хоррор), Детектив;1;Не просмотрено;
Плетённый муж;Ужасы (Хоррор), Жахiття(потрiбно)(Хто вибере по приколу той підр)(????????????????????????????????????????????????);1;Не просмотрено;
Побочный эффект;Детектив;1;Не просмотрено;
Поездка в Америку;комедия;;Не просмотрено;
Полуночная месса;Фантастика (научная, фэнтези), Ужасы (Хоррор);1;Не просмотрено;
Последний подарок 2006;мб драма;дазу;Не просмотрено;
Приглашение 2026;Комедия;1;Не просмотрено;
Проект X;комедия;ТУСНЯК ВПИСНЯК;Не просмотрено;
Прошлое;Жахiття(потрiбно)(Хто вибере по приколу той підр)(????????????????????????????????????????????????);1;Не просмотрено;
Реквием по мечте;Драма, Триллер, Мелодрама;Я(СТЕЙП ВИТЕК ДОБАВИЛ);Не просмотрено;
Рокки Бальбоа;Боевик;Боевик;Не просмотрено;
Скрытые фигуры;Драма, Фантастика (научная, фэнтези), Детектив;1;Не просмотрено;
Следствие ведут овечки;Драма, Комедия;1;Не просмотрено;
Смешанные;Драма, Комедия;1;Не просмотрено;
Счастливчик Гилмор 2;комедия;;Не просмотрено;
Тёмные времена;Драма, Триллер, Детектив, Мелодрама, Жахiття(потрiбно)(Хто вибере по приколу той підр)(????????????????????????????????????????????????);1;Не просмотрено;
Умница Уилл Хантинг;Драма, Мелодрама;1;Не просмотрено;
Фантастические твари 2;Фантастика (научная, фэнтези), Приключения, Жахiття(потрiбно)(Хто вибере по приколу той підр)(????????????????????????????????????????????????);Вторая часть надо смотреть(позвать батончика[лучше поздно чем никогда]);Не просмотрено;
Шоколад 2016;Драма, Комедия;1;Не просмотрено;
Эффект бабочки 1;Фантастика (научная, фэнтези);Холхорс;Не просмотрено;
Окулус;Триллер, Ужасы (Хоррор), Жахiття(потрiбно)(Хто вибере по приколу той підр)(????????????????????????????????????????????????);Соня рекомендует;Не просмотрено;
Ананасовый экспресс: Сижу, курю;камедия;Розетка;Просмотрено;9
1000 слов;комедия;мужика заколдовал колдун...;Просмотрено;8
5 элемент;фантастика;дазу вентилятор;Просмотрено;10
Артур и минипуты 1;МУЛЬТФИЛЬМ;ПОХУЙ ДЕВЯТЬ ХАЙП ФИЛЬМ ДЕТСТВА;Просмотрено;9
Артур и минипуты 2;фантастика;детиживи (2 Часть просмотрена нужна третья) (Оценка второй 5,5 из 10 - Котфя);Просмотрено;5
Артур и минипуты 3;Комедия, приключения;РИКОЛЬНО;Просмотрено;8
Астерикс и Обеликс 1;фентези, комедия;кот_йа добавил олд темка кто шарит стс смотрим;Просмотрено;7
Астерикс и Обеликс 2;Комедия;1 Часть просмотрена (кот_йа);Просмотрено;9
Астерикс и Обеликс 3;Комедия;НУ НАДО НАДО НЕКСТ;Просмотрено;10
Астерикс и Обеликс 4;Комедия;ДАВИМ;Просмотрено;9
Бэтмен Нолана;фантастика;ОБЯЗАТЕЛЬНО БАТОНЧИК ДОЛЖНА БЫТЬ;Просмотрено;5
Великий уравнитель;боевик триллер;частей жопой жуй хз я (Котя) не смотрел;Просмотрено;7
Видос Коти по маину;ЛЕГЕНДАРНЫЙ;СМОТРЕТЬ ОБЯЗАТЕЛЬНО;Просмотрено;
Гадкий я 1;Комедия, Приключения;ластовая (дазу);Просмотрено;9
Главы государств;комедия;Охуенно снято, особенно придурки. Беларусь мама - легенда;Просмотрено;8
Гладиатор;Драма, Боевик(экшен);Без крутилки смотрели забыли оценить;Просмотрено;
Гонка 2013;прикольное;;Просмотрено;9
Грабитель с крыши;комедия;;Просмотрено;7
